,index,idiomatic_version
0,0,"text='Над пустынными улицами Петербурга кружили легкие очертания облаков, словно испарения из затуманенных углублений; они мелькали и исчезали одна за другой. В небе мерцал тусклый светящийся предмет неясной формы, придавая окрестностям слабое сияние; в таком свете металлические крыши и дымовые трубы начали блестеть отражённым светом. Здесь текла река Мойка зелёного цвета; вдоль одного берега стояло трёхэтажное строение с пятью белыми колоннами, украшенными выступающими архитектурными элементами сверху. На ярком фоне дома неторопливо прошёл солдат Её Величества в блестящем золотистом шлеме, на котором была серебряная фигурка голубя с развернутыми крыльями.\n\nНиколай Аполлонович, нанюхавшись парфюма и освободив лицо от щетины, прогуливался вдоль набережной реки Мойки в меховой шубе; его голова была спрятана под воротником, а глаза странно блестели на ярком фоне. Внутри он ощущал тяжёлое волнение без определённого названия — как будто бы внутри него шевелилось нечто одновременно ужасное и приятное, направляющее его в неизвестные земли.\n\nОн задумался: возможно ли, что это ощущение есть любовь? В памяти возникло воспоминание: однажды ночью он, покрытый туманом и спеша из указанного подъезда, поспешил к чугунной петербургской переправе, намереваясь именно там...\n\nОн почувствовал дрожь. Вдруг пронёсся вспышка света: тёмная императорская карета проехала мимо окон освещённого дома; красные фонари на ней отразились в тёмной поверхности воды Мойки, а очертание головного убора слуги и верхней одежды блеснули вместе с светом, появившись из облачной зоны и исчезнув во второй.' ratio=10.0"
1,1,"text='На указанном месте стоял величественный дворец, чьи верхние этажи напоминали вытянутую башню и делали его похожим на странное сооружение замка — кирпично-розовый монолит из массивного камня. Это произошло давно, и сейчас правителя, некогда обитавшего здесь, уже нет с нами.\n\nКирпично-розовые стены дворца возвышались над пустынными улицами; голые ветви деревьев казались протянутыми к небу словно руки, и колыхались на легком ветру; каркнув, черная ворона взмыла высоко в воздух, парила среди облаков, а затем стремительно спустилась обратно.\n\nЭкипаж проезжал через этот район.\n\nКонная скульптура выделялась на фоне пустынной площади; гости города редко обращают внимание на эту величественную фигуру.\n\nМонарх воздвиг памятник своему знаменитому предку, жившему в этом красном кирпичном дворце. Срок его правления был коротким.\n\nВозможно, из узенького окна выглядывала круглая белая голова с завитушками волос; мужчина внимательно глядел сквозь стекло — взгляд то терялся в мягких оттенках заката, то пристально следил за серебристым мерцанием месяца среди листвы деревьев. У входа дежурил солдат в треугольной шляпе; когда поднимался генерал со звездой на груди и направлялся к карете, украшенной картинами, солдат отдавал честь. Рядом стоял высокий возница, сидевший на сиденье экипажа; за ними виднелись черные слуги.\n\nПавел Петрович снова оглядывался и продолжил беседу с изнеженной фрейлиной в прозрачном платье. Она улыбалась, на щеках появились легкие ямочки; родинка была видна.\n\nВ ту ночь лунный свет освещал предметы императорских покоев — блестел даже на маленьком изображении купидона на стене. На подушке уже можно было различить очертания головы, когда-то там спавшего человека; слышались удары часов и приближающиеся шаги. Спустя несколько секунд постель оказалась помятой — простыни еще сохраняли тепло тела, а покойника уже не было видно. Молодые офицеры с обнаженными саблями склонились над пустым изголовьем кровати; кто-то пытался открыть дверь; слышался плач женского голоса; белеющий офицер поднял край шторы и увидел смутное движение за прозрачной тканью окна.\n\nСнова доносились звуки часов, а шаги затихали.' ratio=9.0"
2,2,"text='Вечер наступил, небо покрыто легкой дымкой, и туман скрывает всё выше. В древности верили, что за облаками находится пристанище главного бога, равнодушно наблюдающего за всем происходящим внизу. Сегодня мы знаем, что за облачным покровом разливается лишь бескрайняя синева и пустота космоса. Сейчас же я не могу отделаться от мыслей о том, что скрывается за видимым горизонтом, ведь моя голова полна новых знаний. Полное убеждение часто приравнивается к вере. Раньше я был уверен в своей правоте во всем, что касалось меня самого. Однако теперь, впервые оглядываясь на своё отражение, я осознаю его совершенно отчётливо и чётко. Вижу свое лицо как бы с чужой точки зрения: черные ровные брови, вертикальная морщинка между ними (раньше её не заметил), серые глаза со стальным оттенком, под которыми темные круги от недосыпа. В моём взгляде нет ничего о том, что я чувствую внутри, и раньше мне было невдомёк об этом. С глубины сознания начинает всплывать чувство, будто этот мужчина на зеркальном экране совсем чужой для меня самого — будто я его встретил впервые. Но это не настоящий я. Продолжать размышления нет смысла: всё написанное здесь — плод недавнего недомыслия после употребления определенного вещества накануне вечером, которого уже и не помню. Главное — показать, как логический человеческий разум способен ошибаться в самых удивительных обстоятельствах: от древних представлений о бескрайней высоте до наших современных числовых мерил вселенной. R-13. Кстати говоря, мне приятно быть здесь не одному: я рад его присутствию.' ratio=8.0"
3,3,"text='Она была облачена в платье древнего стиля: тесное чёрное одеяние подчеркивало белизну обнажённых плеч и груди, а также выделяло светлые зубы, казавшиеся неестественно яркими. Женщина уселась и начала играть. Её исполнение отличалось беспорядком и нервозностью, отражая характер эпохи, в которой она жила. Она играла хаотично, без какого-либо порядка или структуры. Остальные вокруг находились в согласии друг с другом и весело смеялись. Однако некоторые из присутствующих испытали сомнения, а я задумался о причинах своего смеха.\n\nЭпилепсия — это болезнь, вызывающая страдания психического характера. Боль нарастает постепенно и становится всё более интенсивной. Со временем приходит осознание того, что происходящее причиняет боль. Затем я ощутил солнечный свет, яркий и резкий, отличающийся от обычного спокойного освещения. Это чувство заставило меня расстаться со своей одеждой и порвать её на куски.\n\nСидящий рядом со мной человек бросил взгляд в мою сторону и усмехнулся. Я запомнил один факт: маленький пузырёк слюны, появившийся и тут же исчезнувший на его губах. Обратив внимание на это явление, я обрёл чёткость сознания.\n\nКак и остальные присутствующие, я воспринимал лишь бессмысленный звук струн музыкального инструмента. Я улыбался, испытывая облегчение и спокойствие. Лекционный материал дал представление о событиях того периода, вызвав смех среди слушателей.\n\nПосле прослушивания старинной музыки я перешёл к современным произведениям, демонстрируемым для сравнения. Мне доставляло удовольствие ощущение чёткости структуры музыкальных работ, основанных на строгих научных принципах и включающих элементы математики и физики. Я ощущал мощь порядка и гармонии современной музыки, противопоставляемой неразумному искусству прошлого без каких-либо границ.\n\nВсе покинули зал парами по четыре человека, двигаясь организованно через большие выходы. По пути я встретил знакомого с необычной фигурой, изогнутой в двух направлениях одновременно; я почтительно кивнул ему.' ratio=9.0"
4,4,"text='Всё это Рутилов говорил с обычной бодростью в голосе и оживлённостью на лице, улыбаясь, хотя сам он выглядел измождённым и подслеповатым, несмотря на модную шляпу с редкими светлыми волосами, видневшимися из-под её козырька.\n\n«Ну что ж, втрое — это перебор», – слабо возразил Передонов, протирая золотые очки.\n\n«Однако это правда!» – воскликнул Рутилов. «Внимательно посмотри на своих кандидаток, используй момент, пока я жив, ведь после моей смерти найти подходящую невесту станет сложнее. Каждая из моих дочерей согласилась бы выйти за тебя».\n\n«Вот уж не скажешь», – буркнул Передонов, явно недовольный.\n\n«Используй эту возможность», – посоветовал Рутилов.\n\n«Главное для меня — чтобы невеста была крепкой, а не худосочной», – грустно сказал Передонов. «Полная девушка предпочтительнее».\n\n«Ты можешь не переживать по этому поводу», – энергично возразил Рутилов. «Мои дочери уже достаточно пышные, а если кто-то ещё недостаточно полна, это временно. После замужества они станут ещё более обаятельными, взгляни хотя бы на мою старшую дочь Ларису».\n\n«Хотел бы я жениться», – признался Передонов, «но боюсь, что моя жена Варя устроит скандал».\n\n«Поскольку ты испугался конфликта, поступи так», – предложил Рутилов с лукавой улыбкой: «Заключи брачный союз сегодня же. Вернешься домой с молодой женой, и всё наладится само собой. Хочешь, я всё организую завтра вечером? Выбирай любую девушку».\n\nПередонов внезапно разразился громким смехом.\n\n«Ты согласен? Заключаем сделку?», – поинтересовался Рутилов.\n\nВнезапно смех Передонова оборвался, и он мрачно прошептал: «Она всё расскажет, эта негодяйка».\n\n«Ничего такого не будет. Нет причин для беспокойства», – успокаивал Рутилов.\n\n«Или отравит», – испуганно бормотал Передонов.\n\n«Просто доверься мне во всех вопросах, я всё организую тщательно и продуманно», – убеждал Рутилов.\n\n«Без приданого вступать в брак не намерен», – раздражённо выкрикнул Передонов.\n\nРутилова ничуть не смутило это резкое изменение темы. Он ответил столь же вдохновенно: «Странный человек, ведь мои дочери имеют приданое. Так что согласен ли ты? Я пойду заниматься подготовкой. Запомни, нельзя говорить кому-либо об этом деле».\n\nРутилов поспешил прочь после рукопожатия с Передоновым. Тот молча наблюдал за ним. Девушки Рутилова вспоминались весёлыми и насмешливыми, что вызвало у Передонова мимолётную ухмылку, быстро исчезнувшую. В нём возникло неясное чувство тревоги.\n\n' ratio=8.0"
5,5,"text='Вспоминая ситуацию из жизни, простую и незатейливую, я превращаю её в увлекательную историю — ведь я поэт. Останься ты бесцветной или наделяй себя активностью и мощью, всё равно я создам тебя в образе красивой и захватывающей истории о приятном и манящем.\n\nСлучайности направляют ход событий, любое начало зависит от них. Однако уместнее начинать с того, что достойно восхищения или, по крайней мере, обладает красотой и радует глаз. Здоровье, юность и жизнерадостное настроение — вот качества человека, которые украшают его жизнь; прозрачная вода, солнечный свет и летняя пора — это явления природы, которые радуют сердце.\n\nБыл ясным и жарким летний день, когда река Скородень засверкала под яркими лучами. Вода была прозрачной, свет ярким, а воздух наполнялся свежестью ветра, лёгкостью птичьих крыльев и смехом двух юных девушек.\n\nЕлисавета и Елена, родные сестры, купались в реке. Картина радовала глаз не только из-за хорошей погоды, но и потому что девушки выглядели особенно красивыми, будучи обнажёнными. Они испытывали приятные ощущения: прохладу воды, желание активно двигаться, улыбаться, разговаривать и веселиться. Во время беседы они вспомнили мужчину, который занимал их фантазии.\n\nДевушки были дочерьми богатого землевладельца, и участок реки, где купались сёстры, примыкал к обширному старинному саду дома. Возможно, им нравилось здесь ещё больше, ведь они чувствовали себя хозяйками быстрой воды и песчаных берегов. Свободно двигаясь и играя в воде, они ощущали уверенность и покой как истинные владелицы. Человек не всегда знает границы своей власти, но счастливы те, кто твёрдо верит в своё положение!' ratio=9.0"
6,6,"text='Дом устроен на самом краю города, в том районе, что называют Расческой. Здесь тянутся ряды высоких многоквартирных зданий с одинаковым белым фасадом и множеством окон. Между ними простирются бетонные дворы, где когда-то юнцы играли. Но сейчас эти территории в основном заброшены, зато развалины старых строений привлекают больше внимания ребятня. \n\nПо соседству с этими массивами стоит одинокий дом — Серый. Он отстроен и выглядит как осколок минувших времен, почти не вписываясь в современный облик района. Отрегулированное пространство вокруг него пустует. Три его этажа обращены к дороге, а внутренний двор заслонен металлической сетью. Белоснежность фасада давно поблекла — теперь он сер вовне и жёлт изнутри. На крыше хаотично разбросаны антенны и провода, стены трещат по швам и покрываются мелкими кусочками штукатурки. Недалеко виднеются гаражи, складские помещения, контейнеры для отходов и будки для питомцев. Вокруг царит пустота и запущенность.\n\nМестные жители относятся к этому дому с недобрым чувством. Хотя никто не выносит это на общее обсуждение, большинство из них предпочитают держаться подальше от него и мечтают о том, чтобы этот дом исчез с лица земли.' ratio=9.0"
7,7,"text='Выяснилось, что каждый, кто хочет привлечь к себе внимание, является эгоистичной личностью с отрицательными качествами, способной на любые поступки и преувеличивающей свои достоинства. Имей в виду, такой человек в действительности ничем не примечателен. Сип прочитал рассказ о птице, желавшей казаться лучше самой себя, а затем стихотворение о животном, которое утонуло из-за собственной глупости. После этого он хотел спеть ещё одну песню подобного содержания, но больше никто не обратил на него внимания. Лицо Сипа стало искажено гневом, он разрыдался и замолчал. Его поблагодарили, дали салфетку, прикрыли книгой и предложили другому ученику продолжить выступление.\n\nГуль произносил свою речь почти шёпотом, не глядя вверх, словно читал написанное прямо на столе, хотя там кроме испорченного пластмассового покрытия ничего и не было. Его белые волосы падали на лицо, мешая видеть, и он поправлял их мокрым пальцем. Причёска держалась лишь до тех пор, пока палец прижимался ко лбу; как только он отводил руку, волосы тут же возвращались на своё место и снова закрывали его взгляд. Для длительного наблюдения за ним требовалась особая выдержка. Именно поэтому я старался не смотреть на него: мои нервы были уже измотаны, дополнительная нагрузка могла бы ухудшить состояние.\n\n— Какой тип внимания он пытается привлечь? Похоже, он хочет обратить внимание на свою обувь. Однако это ошибочно. Привлекая интерес к своей обуви, он обращает внимание на свои ноги и тем самым подчёркивает собственные физические недостатки, не принимая во внимание чувства и мнение окружающих. В определённом смысле таким образом он унижает нас...\n\nГуль продолжал говорить однообразно и монотонно. Его палец скользил вдоль носа, а глаза свидетельствовали о нарастающем гневе. Я знал заранее все его возможные аргументы: такие речи типичны в данной ситуации. Каждое слово Гуля было таким же невыразительным и скучным, как и он сам, его пальцы и ногти.' ratio=9.0"
8,8,"text='Недавно он был полон жизненной силы и энергии. С легкостью переворачивался на руках, поднимая тело вверх ногами с грациозностью парусного корабля, плавающего по воле ветра. Зубами мог поднять стул и порвать канат мощью рук, словно лев в дикой природе. Его организм источал бурную энергию, желание прыгнуть через ограду или раскачать столб — одним словом, совершить нечто выдающееся, как мы говорили в юности. Но что-то изменилось: его механизм начал давать сбои. Он стал ходить с опущенными плечами и признался другу Подтягину о бессоннице, которая мучает его ночью накануне понедельника. В лифте на двадцатой минуте он столкнулся с кем-то весьма недостойным. Утро следующего дня началось тяжело: долго сидел голым, держа холодные вытянутые руки между коленями и задумываясь о том, что снова придется облачиться в рубаху, носки и брюки — вещи, пропитанные потом и грязью, вызывающие неприятное чувство обязательства. Это напомнило ему о цыганском пуделе, который выглядел жалко в человеческой одежде. Частично его апатия объяснялась потерей работы: за зиму он скопил немного денег, но из-за расходов на жизнь их осталось всего около двухсот марок. В предыдущем году прибыв в Берлин, он быстро нашел работу и продолжал трудиться до января, выполняя различные задания — будь то тяжелые утренние поездки на завод или боль в ногах после десяти километров беготни с подносом среди ресторанной мебели заведения «Пир Горой». Он занимался также посредничеством, предлагая любые товары, какие попадались — от баранок до драгоценностей. Ничего не отвергал: зарабатывал даже продажей своей тени, как многие из нас. В массовке киносъемок он ощущал дискомфорт под яркими прожекторами, освещающими статистов так резко и ярко, что создавалось чувство стыда. После съемки контракт считался выполненным, и заработанные деньги расходовались.' ratio=8.0"
9,9,"text='Весь день, пока лежишь на постели, кажется, будто поднимаешься навстречу яркому светилу, и приподнявшись, можно разглядеть кроны деревьев, освещённых солнцем жёлтым светом. Тонкие провода служат укрытием для птах, а рядом с парадным входом виднеется деревянный навес над красной дорожкой. Отдаленно доносятся прелестные звуки природы: трель пичуг, далёкий собачий лай, скрип водяного насоса. Неподвижно утонув в раздумьях о предстоящем подъёме, ты наблюдаешь за солнечными зайчиками на столе и видишь, как клубок нитей соскальзывает с колен матери рядом и неторопливо катится по гладкому паркету. Именно в этой комнате, когда Ганин выздоравливал в шестнадцатилетнем возрасте, родился мысленный образ счастья и девушки, который он позже встретит в жизни. Процесс создания этого образа проходил под влиянием окружающей обстановки: картин на стенах, звуков природы за окном, изображения Иисуса Христа в киоте и журчащей воды в раковине. Образ сформировался благодаря теплу солнечного света, что без него не могло бы произойти. Эти ощущения юности казались мечтательными переживаниями, но сейчас Ганину они представлялись уникальным сочетанием мыслей и реальности. Целый день он переходил из одного сада в другой, посещал кафе, где воспоминания постоянно увлекали его вперёд, словно облака весной в Берлине. Посетители кафе думали, что мужчина задумчиво глядящий вдаль, переживает печаль, а на улице он сталкивался с прохожими и однажды наткнулся на недовольного водителя, чуть не столкнувшегося с ним. Ганин чувствовал себя творцом, восстанавливающим утраченный мир. Он возвращал детали исчезнувшего мира для женщины, которую ещё не решил придать место в нём, пока процесс восстановления не завершится. Однако мысль о женщине, её почти забытое присутствие и прошлые впечатления заставляли его закончить работу над образом окончательно, хотя он сознательно откладывал появление этого образа, чтобы приблизиться к нему шаг за шагом. Избегая путаницы среди ярких прошлых воспоминаний, Ганин аккуратно реконструировал события своей жизни, останавливаясь на незначительных деталях и избегая преждевременного перехода к следующим этапам. Бродя по берлинскому парку тёплым майским днём, он физически восстанавливался после болезни: чувствовал слабость в ногах и рассматривал своё отражение в зеркалах. Одежда казалась особенно чистой и свободной. Прогуливаясь по широкому парку, окруженному деревьями, он замечал чёрные земляные бугорки от деятельности животных. Он надел белую рубашку и светло-фиолетовые носки. У него была мечта встретить кого-то в парке, но представления о том, кто именно должен прийти, у него не было.' ratio=8.0"
