,index,idiomatic_version
0,0,"text='Под пустынными улицами Петербурга бродили неясные тени облаков: куски облака, как бы играя в прятки, быстро перетекали из одной формы в другую. Воздух светил слабым сиянием, словно небесное поле покрылось золотистой пылью; это отражалось на белых колоннах и дымовых труб здания. Мойка излучала зелёный цвет — её берега были окружены многоквартирными домами с пятью белыми колоннами, и на верхушках их величественно выступали архитектурные элементы. Вдоль одной стороны скользила солдат Её Величества в блестящем шлеме — золотистые полоски отражались на его тёмной голове, словно узор на стекле зеркала; его глаза напоминали дрожащие рябь воды, и внутри него всё трепетало нечто незнакомое и странное — как будто внутри возникало безумное напряжение и тайны. Он медленно шёл по набережной, укрытый меховым пальто, его лицо скрывалось в воротнике, словно он бегал за своими собственными репликами; серебристая фигурка голубя, расправившая крылья, напоминала фонарь на темной дороге. Его дыхание выглядело крохотным и тонким как капельки звёздного света, а сердце его стучалось тихо и непостижимо. Ощущения — словно он бродил по безбрежному морю приливов и отлива; каждый шаг был новым опытом и открытием, каждая мысль — как золотистый след в пыльной руке тьмы. Его дыхание прерывалось только одним мыслительным узором — его подозрения на то, что это чувство может быть любовью. Он вспоминал ночное воспоминание: когда он выскочил из темного подъезда и бросился к чугунной переправе через реку Мойки, — всё вокруг казалось будто туманом, словно обнажённая плоть мириады звёзд. И вот, в воздухе проплывало черное крыло императорской повозки; её ярко-красные фонари отражались на серой поверхности воды Мойки — это тёмное кружево создавало обманчивую реальность и казалось, что они привлекаются друг к другу как две луна. И вдруг его дыхание охладилось от внезапного стечения мрака — словно он пытался выхватить из тумана чёрную коробку с роковым улыбкой на внутренней стороне, и это было всё — начало бесконечного прихода серых туч. Он чувствовал дрожь в груди, словно его сердце кричало в ответ на невидимую музыку мира; он знал, что сейчас мир отворачивается от него, но любовь — это не просто словесное выражение; это та сила, которая заставляет тебя чувствовать искреннее трепещущее сердце, будто ты сам являешься частью этого неизвестного прихода. И хотя он знал, что этот момент может стать началом чего-то новым и необъяснимым — в его душе уже родилось чувство, которое словами не выражается.' ratio=58.0"
1,1,"text='Роскошный дворец возвышался среди голых ветвей, его кирпично-розовая верхняя часть напоминала странной формой замок. Легкие порывы ветра подобно тихим шепотам устремлялись к небесам и словно пытались обнять летающие облака, словно дразнители. Ворона, каркая и взметнувшись ввысь, некоторое время парировала над облаками, будто пытаясь ухватиться за что-то незримо, а затем стремительно спустилась к земле. Кирпично-розовый дворец на фоне голых ветвей выделялся с необычной величиною среди деревьев. Гости города редко обращали внимание на эту фигуру — его карка мог бы служить образцом для монументальной скульптуры. Солдат в треугольной шляпе, словно живой маркер мыслительного процесса, дежуривший у входа, отдавал честь золотому грудью проходящему по тропе генералу. Белая голова с завитушками, подобно светлым шепотом за окном, привлекала внимание: человек внимательно осматривал мир через тонкое стекло, глаза либо погружались в мягкие оттенки закатного небосвода, либо приковывали взгляд к мерцанию серебряного месяца среди тьмы листвы деревьев. Человек сидел на высоком сиденье экипажа, а по его сторонам стояли черные слуги. Павел Петрович снова оглядывался вокруг и возобновлял беседу с изнеженной фрейлиной, одетой в прозрачную ткань: дама улыбалась, словно подстёгиваясь от незначительных рябых царапин на щеках. В ту ночь свет луны освещал купидона на маленьком изображении и пропускал тонкие струи слабого света через простыни — их тепло сохраняло ощущение теплоты прежнего заботливого хозяина. Вскоре послышались голоса: женский взволнованный плач, а затем тихий скрип дверных ручек подтверждающий приближение. Откуда-то доносились слабые звуки боя часов и удаляющиеся шаги.' ratio=37.0"
2,2,"text='Вечер. Легкая дымка скрывает небо от наших глаз, лишь прозрачная синева и пустота космоса видны вдали, когда мы вздыхаем об ощущении чего-то свыше. В древности верили, что над облаками обитает главный бог — равнодушный наблюдатель всего происходящего на земле и небесах. Однако сейчас мы знаем лишь прозрачную синеву, полупустоту космоса, когда сверкает ближайшая звезда и дрожит в мраке бесчисленное множество галактик. Теперь же я теряюсь в догадках относительно того, что скрывается за пределами видимости — ведь признанное полнотой знаний эквивалентно верованию, а полный взгляд на мир вызывает лишь отдачу. Я стал свидетелем собственного отражения в зеркале, но не могу описать его с точки зрения моего существа — каким-то другим ярким сознанием внутри меня, которое воспринимает меня как чужого человека... Или мне кажется? Нет смысла продолжать размышления: всё перечисленное бессмысленно и связано с недавними неприятными переживаниями после употребления отравляющего вещества. Это демонстрация того, насколько необычным образом способен ошибаться логичный человеческий разум. Разум, который мог в древности представить бескрайнюю даль и скрытые её тайны с помощью числовых обозначений, теперь устремлён вниз — к мрачному, безжизненному пространству между звезд. R-13: Я доволен его приходом: мне бы не хотелось сейчас оставаться одному.' ratio=28.0"
3,3,"text='Дама была облачена в костюм древних времен: короткое черное платье подчеркивало чистоту обнажённых грудей и светлые зубы, казавшиеся сверкающими солнечными лучами. Она взялась за инструмент и начала играть — её исполнение отличалось хаотичностью и нервозностью, отражавшей характер эпохи, когда она жила. Её выступление шло без какой-либо структурированности, хотя остальные собравшиеся вокруг были согласны друг с другом и весело смеялись. Однако некоторые из присутствующих испытывали сомнения — и я тоже задумался о причине своего смеха.' ratio=29.0"
4,4,"text='Всё это Рутилов произносил так бодрым голосом и оживлённо, как будто под грифом «эмо» в соцсетях, улыбаясь с явным недоверием к собственным словам. Однако он был худым человеком, производящим впечатление слабого и болезненного, несмотря на новую и модную шляпу, из-под которой были видны редкие светлые коротко стриженные волосы. — Ну, разве же втрое! — слабо возразил Передонов, снимая и вытирая золотые очки. — Но это же правда! — вскричал Рутилов, глядя на собеседника свысока. — Ты смотри внимательно, пользуйся моментом, пока я жив, потому что после моей смерти станет сложнее найти невесту, подходящую именно тебе. Каждая из моих дочерей охотно согласилась бы выйти за тебя. — Здесь действительно многие испытывают ко мне симпатию, — угрюмо похвалился Передонов. — Вот видишь, значит используй ситуацию, — советовал Рутилов, глядя на собеседника своими карими глазами и подмигивая ему. — Самое важное для меня, чтобы девушка не была худощавой, — с грустью в голосе сказал Передонов. — Лучше пусть будет полной. — Тебе совершенно не стоит волноваться по этому поводу, — энергично уверял Рутилов, искажённый резкими морщинами на лице. — Сейчас мои дочери уже достаточно полноваты, а если кто-то ещё недостаточно полная, это временно. После замужества они станут ещё пышнее, посмотри хотя бы на мою старшую дочь Ларису. — Я бы хотел вступить в брак, — сказал Передонов, — но опасаюсь, что моя жена Варя устроит крупный конфликт. Поскольку боишься конфликта, поступи так: сегодня же заключай брачный союз, лучше сделать это немедленно. Вернешься домой с молодой супругой, проблема разрешится сама собой. Действительно, хочешь, я всё организую прямо завтра вечером? И выберешь любую девушку. Передонов неожиданно начал громко и резко смеяться. — Значит, соглашаешься? Заключаем сделку? — поинтересовался Рутилов. Передонов также внезапно прекратил смех и мрачно прошептал тихим голосом: — Она расскажет обо всём, эта негодяйка. — Ей нечего рассказывать, ничего, о чем стоит рассказывать, не произойдёт, — успокаивал Рутилов. — Или отравит, — испуганно бормотал Передонов. — Просто доверься мне во всех вопросах, — убеждал Рутилов, искажённый нервами и гневом лица. — Без приданого я вступать в брак не намерен, — раздражённо выкрикнул Передонов. Новое резкое изменение темы разговора не смутило Рутилова. Он ответил столь же вдохновенно: — Странный человек, разве мои дочери лишены приданого? Так что, согласен ты или нет? Я пойду заниматься подготовкой. Запомни, нельзя говорить кому-либо об этом деле, понял?' ratio=45.0"
5,5,"text='Вспоминая простую и бездетную ситуацию из моей жизни, я превращаю ее в привлекательную историю — это моя роль поэта. Не важно, что нибудь происходит вокруг меня, в мире или внутри меня; я создаю красивые и увлекательные истории о приятных событиях и эмоциях, которые вызывают радость. Круглое солнце привносят свет и тепло, делая летний день ясным и жарким, отражаясь на водной поверхности реки Скородень. Прозрачная вода и яркий свет создают ощущение радости благодаря теплу солнца, открытому пространству и дуновению ветра издалека, а также множеству птиц, которые перелетают над нами. Это двое родственниц, Елена и Елизавета, обнаженные девушки, выглядящие прекрасно и вызывающие восхищение своими красивыми качествами — здоровьем, юностью и жизнерадостностью. Вода в реке Скородень прозрачна и необыкновенно чиста, благодаря чему ее можно видеть до самой серединки; она также теплая, что позволяет испытывать приятную прохладу при купании. Река является их владением — они могут свободно двигаться в ней и управлять ею, как владельцы сада, расположенного по берегам реки. Это нечто большее, чем просто природная достопримечательность; для них это дом, ибо они чувствуют себя хозяевами быстрых вод и песчаного берега, где их можно безопасно играть и развлекаться.' ratio=38.0"
6,6,"text='Дом стоял на краю города, в таежной глубине Расчески — района, где здания росли параллельными рядами и с пропущенными участками между ними, похожими на оазисы для игр юных граждан. Эти многоквартирные бастионы были белыми словно облака, украшенными множеством окон, как зеркала. Между домами раскинулись пустующие пространства, захваченные вольготным миром бетона и заборами. Эти участки привлекали внимание детей больше чем ухоженные дворы — место для игр становилось местом сражений.' ratio=43.0"
7,7,"text='Оказалось, что каждый человек, стремящийся обратить на себя внимание, является эгоистичным человеком с негативными качествами — способным совершать любые поступки и переоценивающим собственные достоинства. Как это произошло? Сип прочитал рассказ про птицу, желавшую казаться лучше, чем была. Затем стихотворение о животном, утонувшем вследствие собственного неразумия. После этого он захотел исполнить ещё одну песню аналогичного содержания — однако его больше никто не слушал. Лицо Сипа изменилось от гнева: он заплакал и умолк, поддерживаемый другими учениками. Гуль произносил речь почти неслышно — словно читал написанное прямо на столе, несмотря на отсутствие там какого-либо текста. Белые волосы спускались на лицо и мешали видеть, он поправлял их мокрыми пальцами. Прическа держалась лишь до тех пор, пока палец был приложен ко лбу — после чего немедленно возвращалась назад и снова закрывала взгляд. Для длительного наблюдения за Гулем нужна особая выдержка: мне было необходимо не смотреть на него. Мои нервы находились в плохом состоянии, дополнительная нагрузка могла привести к ухудшению самочувствия. Что же он добивается? Какого рода внимания добивается обсуждаемый субъект? Оказалось, что он стремится обратить внимание на свою обувь — но это неверно. Через привлечение интереса к обуви он обращает внимание на свои ноги. Тем самым демонстрирует своё физическое несовершенство, подчёркивая недостатки остальным людям, игнорируя их чувства и мнение. В некотором отношении он таким образом унижает нас... Он продолжал говорить монотонно и однообразно. Палец перемещался вдоль носа — по его глазам было видно, что он начинал злиться. Мне заранее известны все аргументы, какие мог изложить Гуль: такие речи типичны в данной ситуации. Каждое высказывание, произнесённое им, было столь же невыразительным и скучным, как он сам, его пальцы и ногти.' ratio=50.0"
8,8,"text='Недавно он был бодрым как зверь и энергичным лебедем, способным подниматься на руках словно парус на волнах и с непостижимой легкостью передвигаясь по пространству. Его тело бурлило энергией, желанием прыгнуть через ограду как мы летом раскачивали колокольчики на деревенских площадях, словно дети играющие в копалку. Вместе с зубами он мог поднять стул и порвать канат за мощными мышцами рук. Его тело бурлило жизненной силой — желанием совершить что-то невероятное, как мы говорили о юности. Теперь же что-то изменилось: словно механизм слегка испортился. Он стал сутулиться и признаться другу Подтягину, что мучается бессонницей ночами. Ночью накануне понедельника плохо спал, проводя двадцать минут в компании непристойного человека в остановившемся лифте. Утро следующего дня началось тяжело: долгое время сидел голым, держа вытянутые прохладные руки между коленями, пораженный осознанием, что снова должен будет одеть рубаху, носки, брюки — вещи пропитанные потом и грязью, казавшиеся неприятной обязанностью. Подобное чувство вызывало в нем воспоминание о цыганском пуделе выглядящем ужасающе жалко в человеческой одежде. Частично апатия объяснялась отсутствием работы: за прошедшую зиму удалось скопить небольшую сумму денег, чтобы в последних месяцах иметь около двухсот марок. В предыдущем году, оставаясь в Берлине, он быстро устроился на работу и продолжал трудиться вплоть до января, испытывая тяжесть утренних поездок на завод; чувствуя боль в ногах после десяти километров беготни с подносом среди заведения «Пир Горой». Также он занимался посредничеством, предлагая любые товары, какие попадались под руку — будь то баранки, средство для укладки волос или драгоценности. Вместе с тем, неоднократно зарабатывал продажей собственной тени как многие из нас; в качестве массовки киносъемок за городом, где огромные прожекторы ярко освещали лица людей своим резким светом, создавая ощущение дискомфорта и стыда. После завершения съемки контракт считался выполненным, и заработанная сумма расходовалась.' ratio=38.0"
9,9,"text='Весь день ты лежишь на кровати и кажется, будто движешься вверх к ясному солнечному небу, приподнявшись можно видеть кроны деревьев, ярко освещённые жёлтым светом солнца, тонкие провода, местом отдыха птиц, и деревянный навес над дорожкой красного цвета рядом с парадным входом. Издали слышатся приятные звуки природы: пение птиц, отдалённый собачий лай, поскрипывание водяного насоса. Лежишь неподвижно, погружён в размышления о предстоящем подъёме и наблюдаешь солнечные блики на поверхности стола, смотришь как клубок нитей соскальзывает с коленей сидящей рядом матери и плавно перекатывается по гладкому деревянному полу. Именно здесь в данной комнате, когда Ганин находился на выздоровлении в возрасте шестнадцати лет, сформировался мысленный образ счастья и девушки, которого он позже увидел в реальности. Этот процесс формирования образа происходил благодаря совокупности факторов окружающей обстановки: картинам на стенах, звукам природы за окном, изображению Христа в киоте, журчащей водой в раковине. Частью развивающегося образа стала атмосфера солнечного света в помещении и очевидно, что без воздействия этой среды такой образ не мог бы появиться. По сути, это были лишь обычные ощущения юности, мечтательные переживания, однако сейчас Ганину представлялось, что такое совпадение мыслей и действительности ранее не происходило столь идеально. Весь день он переходил из одного сада в другой, посещал различные кафе, воспоминания постоянно увлекали его вперёд подобно движущимся облакам в небе весной в Берлине. Посетители кафе думали, что мужчина, внимательно смотрящий вдаль переживает какую-то глубокую печаль, а на улицах он случайно сталкивался с прохожими один раз водитель автомобиля резко остановился и выразил недовольство, чуть не столкнувшись с ним. Ганин чувствовал себя творцом восстанавливающим утраченный мир постепенно он возвращал детали исчезнувшего мира ради той женщины, которой ещё не решился придать место в нем пока восстановление не завершится целиком. Однако мысль о ней, ощущение её присутствия почти забытое воспоминание прошлых впечатлений вынуждали его завершить создание образа окончательно хотя он сознательно откладывал появление этого образа поскольку хотел приблизиться к нему поэтапно следуя определённой последовательности шагов. Стараясь избежать путаницы среди ярких образов прошлого он аккуратно реконструировал события своей жизни иногда останавливаясь на незначительных деталях избегая преждевременного перехода к последующим этапам. Бродя по Берлину тёплым майским днём он действительно выздоравливал физически испытывал первые признаки восстановления после болезни слабость в ногах рассматривал своё отражение в зеркалах. Одежда выглядела особенно чистой свободной и слегка непривычной. Медленно продвигаясь по широкому парку окруженному деревьями он замечал небольшие земляные бугорки черного цвета образовавшиеся в результате деятельности животных. Он надел белую нижнюю одежду и светло-фиолетовые носки. У него была мечта встретить кого-либо в парке, но конкретного представления о том кто именно должен встретиться у него не было.' ratio=41.0"
